"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"1","Uttar Pradesh","Installing community drinking water plants","WS/MP192/2023-2024/14648","MORADABAD(DISTRICT MAGISTRATE MORADABAD_IDA)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","07-Sep-2026","A TO Z ASSOCIATES","Payment In-Progress","197500"
"2","Odisha","Construction of boundary walls of existing public and community buildings","WS/MP138/2025-2026/205446","MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","08-Sep-2026","MEMBER SECY OB AND OC WWB BBSR","Payment In-Progress","4000"
"3","Karnataka","Construction of community centers and community halls","WS/MP18296/2026-2027/230173","BALLARI(DEPUTY COMMISSIONER BELLARY_IDA)","Dr. Syed Naseer Hussain (2024-30) (2024-2030)","Elected MP","03-Sep-2026","KRIDL BHUSIRI ACCOUNT WORKS","Payment In-Progress","750000"
"4","Karnataka","Construction of community centers and community halls","WS/MP18296/2026-2027/226930","BALLARI(DEPUTY COMMISSIONER BELLARY_IDA)","Dr. Syed Naseer Hussain (2024-30) (2024-2030)","Elected MP","03-Sep-2026","KRIDL BHUSIRI ACCOUNT WORKS","Payment In-Progress","1125000"
"5","Uttar Pradesh","Purchase of ambulances (Four, three and two wheelers)","WS/MP887/2025-2026/207251","LUCKNOW(DISTRICT MAGISTRAE LUCKNOW_IDA)","Dr. Dinesh Sharma (2023-26) (2023-2026)","Elected MP","20-Aug-2026","FORCE MOTORS LIMITED","Payment In-Progress","4282950"
"6","Tamil Nadu","Construction of public toilets and bathrooms","WS/MP18439/2026-2027/247388","SALEM(DISTRICT COLLECTOR SALEM_IDA)","Dr. M. Dhanapal (2025-31) (2025-2031)","Elected MP","04-Sep-2026","P VELLAIYAN CONTRACTOR","Payment In-Progress","8000"
"7","Uttar Pradesh","Installation of multi-gym equipment","WS/MP192/2025-2026/195366","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","08-Sep-2026","R G SUPLLIER","Payment In-Progress","566650"
"8","Uttar Pradesh","Installation of multi-gym equipment","WS/MP192/2025-2026/197651","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","08-Sep-2026","R G SUPLLIER","Payment In-Progress","566650"
"9","Uttar Pradesh","Installation of multi-gym equipment","WS/MP192/2025-2026/195355","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","08-Sep-2026","R G SUPLLIER","Payment In-Progress","566650"
"10","Uttar Pradesh","Installation of multi-gym equipment","WS/MP192/2025-2026/195354","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","08-Sep-2026","R G SUPLLIER","Payment In-Progress","566650"
"11","Uttar Pradesh","Installation of multi-gym equipment","WS/MP192/2025-2026/195375","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","08-Sep-2026","R G SUPLLIER","Payment In-Progress","566650"
"12","Uttar Pradesh","Installation of multi-gym equipment","WS/MP192/2025-2026/197653","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","08-Sep-2026","R G SUPLLIER","Payment In-Progress","566650"
"13","Uttar Pradesh","Installation of multi-gym equipment","WS/MP192/2025-2026/195368","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","08-Sep-2026","R G SUPLLIER","Payment In-Progress","566650"
"14","Uttar Pradesh","Installation of multi-gym equipment","WS/MP192/2025-2026/197662","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","08-Sep-2026","R G SUPLLIER","Payment In-Progress","566650"
"15","Uttar Pradesh","Installation of multi-gym equipment","WS/MP192/2025-2026/195376","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","08-Sep-2026","R G SUPLLIER","Payment In-Progress","566650"
"16","Uttar Pradesh","Installation of multi-gym equipment","WS/MP192/2025-2026/195363","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","08-Sep-2026","R G SUPLLIER","Payment In-Progress","566650"
"17","Uttar Pradesh","Installation of fixed garden gym equipment","WS/MP192/2025-2026/195336","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","08-Sep-2026","R G SUPLLIER","Payment In-Progress","566650"
"18","Uttar Pradesh","Installation of multi-gym equipment","WS/MP192/2025-2026/195347","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","08-Sep-2026","R G SUPLLIER","Payment In-Progress","566650"
"19","Uttar Pradesh","Installation of multi-gym equipment","WS/MP192/2025-2026/195377","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","08-Sep-2026","R G SUPLLIER","Payment In-Progress","566650"
"20","Uttar Pradesh","Installation of multi-gym equipment","WS/MP192/2025-2026/195365","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","08-Sep-2026","R G SUPLLIER","Payment In-Progress","566650"
"21","Uttar Pradesh","Installation of multi-gym equipment","WS/MP192/2025-2026/197655","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","08-Sep-2026","R G SUPLLIER","Payment In-Progress","566650"
"22","Uttar Pradesh","Installation of multi-gym equipment","WS/MP192/2025-2026/195356","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","08-Sep-2026","R G SUPLLIER","Payment In-Progress","566650"
"23","Uttar Pradesh","Installation of multi-gym equipment","WS/MP192/2025-2026/195364","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","08-Sep-2026","R G SUPLLIER","Payment In-Progress","566650"
"24","Uttar Pradesh","Installation of multi-gym equipment","WS/MP192/2025-2026/195343","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","08-Sep-2026","R G SUPLLIER","Payment In-Progress","566650"
"25","Uttar Pradesh","Installation of multi-gym equipment","WS/MP192/2025-2026/195350","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","08-Sep-2026","R G SUPLLIER","Payment In-Progress","566650"
"26","Uttar Pradesh","Installation of multi-gym equipment","WS/MP192/2025-2026/195340","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","08-Sep-2026","R G SUPLLIER","Payment In-Progress","566650"
"27","Uttar Pradesh","Installation of multi-gym equipment","WS/MP192/2025-2026/197659","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","08-Sep-2026","R G SUPLLIER","Payment In-Progress","566650"
"28","Uttar Pradesh","Installation of multi-gym equipment","WS/MP192/2025-2026/195348","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","08-Sep-2026","R G SUPLLIER","Payment In-Progress","566650"
"29","Uttar Pradesh","Installation of multi-gym equipment","WS/MP192/2025-2026/197661","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","08-Sep-2026","R G SUPLLIER","Payment In-Progress","566650"
"30","Uttar Pradesh","Installation of multi-gym equipment","WS/MP192/2025-2026/195342","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","08-Sep-2026","R G SUPLLIER","Payment In-Progress","566650"
"31","Uttar Pradesh","Installation of multi-gym equipment","WS/MP192/2025-2026/197658","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","08-Sep-2026","R G SUPLLIER","Payment In-Progress","566650"
"32","Uttar Pradesh","Installation of fixed garden gym equipment","WS/MP192/2025-2026/195338","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","08-Sep-2026","R G SUPLLIER","Payment In-Progress","566650"
"33","Uttar Pradesh","Installation of multi-gym equipment","WS/MP192/2025-2026/195353","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","08-Sep-2026","R G SUPLLIER","Payment In-Progress","566650"
"34","Uttar Pradesh","Installation of multi-gym equipment","WS/MP192/2025-2026/195357","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","08-Sep-2026","R G SUPLLIER","Payment In-Progress","566650"
"35","Uttar Pradesh","Installation of fixed garden gym equipment","WS/MP192/2025-2026/195335","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","08-Sep-2026","R G SUPLLIER","Payment In-Progress","566650"
"36","Uttar Pradesh","Installation of multi-gym equipment","WS/MP192/2025-2026/195344","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","08-Sep-2026","R G SUPLLIER","Payment In-Progress","566650"
"37","Uttar Pradesh","Installation of fixed garden gym equipment","WS/MP192/2025-2026/195334","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","08-Sep-2026","R G SUPLLIER","Payment In-Progress","566650"
"38","Uttar Pradesh","Installation of multi-gym equipment","WS/MP192/2025-2026/197660","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","08-Sep-2026","R G SUPLLIER","Payment In-Progress","566650"
"39","Uttar Pradesh","Installation of multi-gym equipment","WS/MP192/2025-2026/138290","MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","01-Apr-2026","BALAJI SUPPLIER","Payment In-Progress","489765"
"40","Uttar Pradesh","Installation of multi-gym equipment","WS/MP192/2025-2026/138282","MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","01-Apr-2026","BALAJI SUPPLIER","Payment In-Progress","489765"
"41","Uttar Pradesh","Installation of multi-gym equipment","WS/MP192/2025-2026/138283","MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","01-Apr-2026","BALAJI SUPPLIER","Payment In-Progress","489765"
"42","Uttar Pradesh","Installation of multi-gym equipment","WS/MP192/2025-2026/138284","MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","01-Apr-2026","BALAJI SUPPLIER","Payment In-Progress","489765"
"43","Uttar Pradesh","Installation of multi-gym equipment","WS/MP192/2025-2026/138285","MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","01-Apr-2026","BALAJI SUPPLIER","Payment In-Progress","489765"
"44","Uttar Pradesh","Installation of multi-gym equipment","WS/MP192/2025-2026/138286","MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","01-Apr-2026","BALAJI SUPPLIER","Payment In-Progress","489765"
"45","Uttar Pradesh","Installation of multi-gym equipment","WS/MP192/2025-2026/138287","MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","01-Apr-2026","BALAJI SUPPLIER","Payment In-Progress","489765"
"46","Uttar Pradesh","Installation of multi-gym equipment","WS/MP192/2025-2026/138289","MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","01-Apr-2026","BALAJI SUPPLIER","Payment In-Progress","489765"
"47","Karnataka","Construction of rooms and halls in school and colleges","WS/MP092/2026-2027/275433","UDUPI(DEPUTY COMMISSIONER UDUPI_IDA)","Smt. Nirmala Sitharaman (2022-28) (2022-2028)","Elected MP","05-Sep-2026","KRIDL BHUSIRI ACCOUNT WORKS","Payment In-Progress","1500000"
"48","Karnataka","Construction of rooms and halls in school and colleges","WS/MP092/2026-2027/275432","UDUPI(DEPUTY COMMISSIONER UDUPI_IDA)","Smt. Nirmala Sitharaman (2022-28) (2022-2028)","Elected MP","05-Sep-2026","KRIDL BHUSIRI ACCOUNT WORKS","Payment In-Progress","750000"
"49","Punjab","Purchase of mobile water tankers","WS/MP140/2026-2027/276204","KAPURTHALA(DEPUTY COMMISSIONER KAPURTHALA_IDA)","Shri Sant Balbir Singh (2022-28) (2022-2028)","Elected MP","09-Sep-2026","Balvir Agriculture corporation","Payment In-Progress","360000"
"50","Punjab","Purchase of mobile water tankers","WS/MP140/2026-2027/291467","KAPURTHALA(DEPUTY COMMISSIONER KAPURTHALA_IDA)","Shri Sant Balbir Singh (2022-28) (2022-2028)","Elected MP","09-Sep-2026","Balvir Agriculture corporation","Payment In-Progress","360000"
"51","Punjab","Purchase of mobile water tankers","WS/MP140/2026-2027/291466","KAPURTHALA(DEPUTY COMMISSIONER KAPURTHALA_IDA)","Shri Sant Balbir Singh (2022-28) (2022-2028)","Elected MP","09-Sep-2026","Balvir Agriculture corporation","Payment In-Progress","360000"
"52","Punjab","Purchase of mobile water tankers","WS/MP140/2026-2027/299004","KAPURTHALA(DEPUTY COMMISSIONER KAPURTHALA_IDA)","Shri Sant Balbir Singh (2022-28) (2022-2028)","Elected MP","09-Sep-2026","Balvir Agriculture corporation","Payment In-Progress","360000"
"53","Chhattisgarh","Development of playfields and sports grounds","WS/MP225/2025-2026/250305","Balodabazar-Bhatapara(Collector Baloda Bazar_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","17-Aug-2026","GRAM PANCHAYAT MANAKONI","Payment In-Progress","250000"
"54","Madhya Pradesh","Construction of culverts and bridges","WS/MP106/2026-2027/230393","SAGAR(DISTRICT COLLECTOR SAGAR_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","04-Aug-2026","GRAM PANCHAYAT BAGASPUR","Payment In-Progress","150000"
"55","Bihar","Construction of public irrigation facilities","WS/MP052/2025-2026/208264","PASHCHIM CHAMPARAN(DISTRICT PLANNING OFFICER WEST CHAMPARANBETTIAH_IDA)","Shri Satish Chandra Dubey (2022-28) (2022-2028)","Elected MP","09-Sep-2026","ASSISTANT ENGINEER BAGAHA LEGISLATIVE","Payment In-Progress","384039"
"56","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP041/2026-2027/282279","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Dr. Faiyaz Ahmad (2022-28) (2022-2028)","Elected MP","05-Sep-2026","ASSISTANT ENGINEER PATNA SAHIB","Payment In-Progress","1494300"
"57","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18300/2026-2027/281465","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Dr. Bhim Singh (2024-30) (2024-2030)","Elected MP","09-Sep-2026","VAIBHAV VATSHALYA","Payment In-Progress","645000"
"58","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18300/2026-2027/281461","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Dr. Bhim Singh (2024-30) (2024-2030)","Elected MP","09-Sep-2026","VAIBHAV VATSHALYA","Payment In-Progress","1168000"
"59","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18300/2026-2027/281462","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Dr. Bhim Singh (2024-30) (2024-2030)","Elected MP","09-Sep-2026","VAIBHAV VATSHALYA","Payment In-Progress","1488000"
"60","Chhattisgarh","Development of playfields and sports grounds","WS/MP224/2026-2027/284687","JASHPUR(DISTRICT COLLECTOR JASHPUR_IDA)","Smt. Phulo Devi Netam (2026-32) (2026-2032)","Elected MP","07-Sep-2026","Rameshwar Gupta","Payment In-Progress","999514"
"61","Chhattisgarh","Construction of culverts and bridges","WS/MP224/2026-2027/284685","JASHPUR(DISTRICT COLLECTOR JASHPUR_IDA)","Smt. Phulo Devi Netam (2026-32) (2026-2032)","Elected MP","27-Aug-2026","Rameshwar Gupta","Payment In-Progress","999938"
"62","Kerala","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP100/2025-2026/158029","KOTTAYAM(DISTRICT COLLECTOR KOTTAYAM_IDA)","Shri Jose K. Mani (2024-30) (2024-2030)","Elected MP","03-Sep-2026","ROGY XAVIER","Payment In-Progress","953435"
"63","Tamil Nadu","Construction of culverts and bridges","WS/MP18435/2026-2027/255473","TIRUCHIRAPPALLI(DISTRICT COLLECTOR TIRUCHIRAPPALLI_IDA)","Smt. Rajathi (2025-31) (2025-2031)","Elected MP","19-Aug-2026","TAMIL NADU JOURNALIST WELFARE BOARD FUND","Payment In-Progress","168"
"64","Uttar Pradesh","Street lights","WS/MP202/2026-2027/270317","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","Smt. Seema Dwivedi (2020-26) (2020-2026)","Elected MP","07-Jul-2026","HANSH ENTERPRISES","Payment In-Progress","19600"
"65","Uttar Pradesh","Purchase of non-conventional energy system and devices for community use","WS/MP202/2026-2027/270302","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","Smt. Seema Dwivedi (2020-26) (2020-2026)","Elected MP","07-Jul-2026","HANSH ENTERPRISES","Payment In-Progress","98000"
"66","Uttar Pradesh","Purchase of non-conventional energy system and devices for community use","WS/MP202/2026-2027/270306","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","Smt. Seema Dwivedi (2020-26) (2020-2026)","Elected MP","07-Jul-2026","HANSH ENTERPRISES","Payment In-Progress","98000"
"67","Uttar Pradesh","Purchase of non-conventional energy system and devices for community use","WS/MP202/2026-2027/270305","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","Smt. Seema Dwivedi (2020-26) (2020-2026)","Elected MP","07-Jul-2026","HANSH ENTERPRISES","Payment In-Progress","98000"
"68","Uttar Pradesh","Purchase of non-conventional energy system and devices for community use","WS/MP202/2026-2027/270303","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","Smt. Seema Dwivedi (2020-26) (2020-2026)","Elected MP","07-Jul-2026","HANSH ENTERPRISES","Payment In-Progress","98000"
"69","Uttar Pradesh","Purchase of non-conventional energy system and devices for community use","WS/MP202/2026-2027/270304","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","Smt. Seema Dwivedi (2020-26) (2020-2026)","Elected MP","07-Jul-2026","HANSH ENTERPRISES","Payment In-Progress","98000"
"70","Uttar Pradesh","Purchase of non-conventional energy system and devices for community use","WS/MP202/2025-2026/250664","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","Smt. Seema Dwivedi (2020-26) (2020-2026)","Elected MP","07-Jul-2026","HANSH ENTERPRISES","Payment In-Progress","98000"
"71","Uttar Pradesh","Street lights","WS/MP202/2026-2027/270319","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","Smt. Seema Dwivedi (2020-26) (2020-2026)","Elected MP","07-Jul-2026","HANSH ENTERPRISES","Payment In-Progress","19600"
"72","Tamil Nadu","Providing supply pipelines for drinking water","WS/MP18439/2026-2027/247386","SALEM(DISTRICT COLLECTOR SALEM_IDA)","Dr. M. Dhanapal (2025-31) (2025-2031)","Elected MP","04-Sep-2026","SSAssociates","Payment In-Progress","73713"
"73","Tamil Nadu","Providing supply pipelines for drinking water","WS/MP18439/2026-2027/247385","SALEM(DISTRICT COLLECTOR SALEM_IDA)","Dr. M. Dhanapal (2025-31) (2025-2031)","Elected MP","04-Sep-2026","SSAssociates","Payment In-Progress","78730"
"74","Tamil Nadu","Providing supply pipelines for drinking water","WS/MP18439/2026-2027/247387","SALEM(DISTRICT COLLECTOR SALEM_IDA)","Dr. M. Dhanapal (2025-31) (2025-2031)","Elected MP","04-Sep-2026","SSAssociates","Payment In-Progress","73723"
"75","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP052/2026-2027/274781","PASHCHIM CHAMPARAN(DISTRICT PLANNING OFFICER WEST CHAMPARANBETTIAH_IDA)","Shri Satish Chandra Dubey (2022-28) (2022-2028)","Elected MP","09-Sep-2026","ASSISTANT ENGINEER MPLADS RAMNAGAR","Payment In-Progress","998004"
"76","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP052/2025-2026/266322","PASHCHIM CHAMPARAN(DISTRICT PLANNING OFFICER WEST CHAMPARANBETTIAH_IDA)","Shri Satish Chandra Dubey (2022-28) (2022-2028)","Elected MP","09-Sep-2026","ASSISTANT ENGINEER MPLADS RAMNAGAR","Payment In-Progress","696858"
"77","Punjab","Construction of stadiums","WS/MP141/2023-2024/80690","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","04-Sep-2026","Puneet Iron Store","Payment In-Progress","50000"
"78","Punjab","Construction of stadiums","WS/MP141/2023-2024/80690","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","04-Sep-2026","Puneet Iron Store","Payment In-Progress","49800"
"79","Punjab","Construction of stadiums","WS/MP141/2023-2024/80690","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","04-Sep-2026","Puneet Iron Store","Payment In-Progress","48140"
"80","Punjab","Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers","WS/MP141/2025-2026/213254","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","07-Sep-2026","Ms Krishan Kumar Bko","Payment In-Progress","9000"
"81","Punjab","Renovation of ponds and lakes","WS/MP141/2025-2026/261041","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","06-Sep-2026","DEVRAJ SO KHAJAN CHAND","Payment In-Progress","303238"
"82","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18297/2025-2026/263024","UJJAIN(DISTRICT COLLECTOR UJJAIN_IDA)","Shri Balyogi Umeshnath (2024-30) (2024-2030)","Elected MP","20-Aug-2026","GP DEVIKHEDA","Payment In-Progress","600000"
"83","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP104/2026-2027/273231","UJJAIN(DISTRICT COLLECTOR UJJAIN_IDA)","Dr. L. Murugan (2024-30) (2024-2030)","Elected MP","08-Jul-2026","GP LASUDIYABECHAR","Payment In-Progress","960000"
"84","Chhattisgarh","Construction of common work sheds/ common covered sitting area","WS/MP224/2026-2027/284717","MUNGELI(Collector Mungeli_IDA)","Smt. Phulo Devi Netam (2026-32) (2026-2032)","Elected MP","24-Jul-2026","GRAM PANCHYAT BALAUDI SGVY","Payment In-Progress","400000"
"85","Uttar Pradesh","Construction of bus-sheds or bus-stops","WS/MP180/2025-2026/229612","PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA)","Dr. K. Laxman (2022-28) (2022-2028)","Elected MP","01-Aug-2026","VINAYAK ENTERPRISES","Payment In-Progress","948129"
"86","Uttar Pradesh","Construction of bus-sheds or bus-stops","WS/MP180/2025-2026/229587","PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA)","Dr. K. Laxman (2022-28) (2022-2028)","Elected MP","01-Aug-2026","VINAYAK ENTERPRISES","Payment In-Progress","948129"
"87","Uttar Pradesh","Construction of bus-sheds or bus-stops","WS/MP180/2025-2026/229589","PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA)","Dr. K. Laxman (2022-28) (2022-2028)","Elected MP","01-Aug-2026","VINAYAK ENTERPRISES","Payment In-Progress","948129"
"88","Uttar Pradesh","Construction of bus-sheds or bus-stops","WS/MP180/2025-2026/229591","PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA)","Dr. K. Laxman (2022-28) (2022-2028)","Elected MP","01-Aug-2026","VINAYAK ENTERPRISES","Payment In-Progress","948129"
"89","Uttar Pradesh","Lighting of public spaces","WS/MP847/2024-2025/151101","KANPUR DEHAT(DISTRICT MAGISTRATE KANPUR DEHAT_IDA)","Shri Baburam Nishad (2022-28) (2022-2028)","Elected MP","23-Jun-2026","shyam swaroop manufacturere","Payment In-Progress","42433"
"90","Uttar Pradesh","Lighting of public spaces","WS/MP847/2024-2025/151102","KANPUR DEHAT(DISTRICT MAGISTRATE KANPUR DEHAT_IDA)","Shri Baburam Nishad (2022-28) (2022-2028)","Elected MP","23-Jun-2026","shyam swaroop manufacturere","Payment In-Progress","42433"
"91","Uttar Pradesh","Lighting of public spaces","WS/MP847/2024-2025/151100","KANPUR DEHAT(DISTRICT MAGISTRATE KANPUR DEHAT_IDA)","Shri Baburam Nishad (2022-28) (2022-2028)","Elected MP","23-Jun-2026","shyam swaroop manufacturere","Payment In-Progress","42433"
